ncit_code,preferred_term,parent_code,parent_name,depth,synonyms,definition
C110928,6-Item Orientation-Memory-Concentration Test,C222259,Cognitive Assessment Tool,2,OMC|Orientation-Memory-Concentration Test,"A screening test for cognitive impairment that is administered by a non-physician. This test is designed to discriminate between mild, moderate, and severe cognitive deficits."
C153450,7 Point Agreement Rating Scale,C217121,Clinical or Research Assessment Scale,2,7 Point Agreement Scale|Agreement Rating Scale,"A subjective scale for the scoring of agreement that ranges from 1: Strongly Disagree to 7: Strongly Agree, with 4: Neutral."
C98265,75th Growth Percentile,C98260,Growth Chart Percentile,2,,An indication that an individual ranks the same or more than 75 percent (top 25 percent) of the reference population for a given attribute.
C98266,90th Growth Percentile,C98260,Growth Chart Percentile,2,,An indication that an individual ranks the same or more than 90 percent (top 10 percent) of the reference population for a given attribute.
C98267,95th Growth Percentile,C98260,Growth Chart Percentile,2,,An indication that an individual ranks the same or more than 95 percent (top 5 percent) of the reference population for a given attribute.
C168798,ACMG Classification of Genomic Variant Pathogenicity,C118969,Clinical or Research Assessment Classification,2,American College of Medical Genetics Classification of Genomic Variant Pathogenicity,A five-tiered classification from the American College of Medical Genetics designed to describe the likelihood that a genomic sequence variant is causative of an inherited disease.
C122371,ADHD Rating Scale-IV Home Version Questionnaire,C91105,Clinical or Research Assessment Questionnaire,2,ADHD-RS-IV HOME VERSION|ADHD-RS-IV Home Version|ADHD01,"A standardized rating scale developed by DuPaul et al in 1998 based on the DSM-IV criteria, which is used for the diagnosis of ADHD in children and adolescents, and for the assessment of treatment response. This questionnaire requires a subject to rate the frequency and severity of inattentive and hyperactive-impulsive symptoms on a scale of 0 to 3: never or rarely (0), sometimes (1), often (2), or very often (3)."
C177561,AJCC Cancer Staging Manual,C118969,Clinical or Research Assessment Classification,2,AJCC Cancer Staging System|ajcc staging system edition|ajcc_staging_system_edition,The criteria developed by the American Joint Committee on Cancer (AJCC) for the classification and staging of neoplastic diseases.
C179028,ANCHOR Health-Related Symptom Index,C91105,Clinical or Research Assessment Questionnaire,2,ANCHOR|ANCHOR Health-Related Symptom Index (a-HRSI)|a-HRSI,A 25-item self-report questionnaire that utilizes a five-point rating scale to assess the physical and psychological symptoms and physical impact of anal cancer experienced in the past seven days.
C124706,ASSIGN Cardiovascular Disease 10-Year Risk Score Clinical Classification,C118969,Clinical or Research Assessment Classification,2,ASSG01|ASSIGN CVD 10-YEAR RISK|ASSIGN Score,"A standardized rating scale developed by Woodward et al and the Scottish Intercollegiate Guidelines Network (SIGN) in 2007, which is a classification system used to predict 10-year risk of cardiovascular disease."
C147589,ATLAS Score Clinical Classification,C118969,Clinical or Research Assessment Classification,2,ATLAS|ATLAS|ATLAS1,"A standardized scoring system created by Miller et al. in 2013 that assesses age, treatment with systemic antibiotics, leukocyte count, albumin and serum creatinine to predict treatment response or mortality from Clostridium difficile infection."
C190728,AYA NA-SB Questionnaire,C91105,Clinical or Research Assessment Questionnaire,2,AYA Needs Assessment and Service Bridge|Adolescents and Young Adults Needs Assessment and Service Bridge,"A patient-reported outcomes measure for assessing the physical, psychosocial, and practical needs of adolescents and young adults (AYA) diagnosed with cancer. The needs in the assessment are grouped by services expected to address them, creating an intuitive and actionable link between needs and services."
C131878,AYA-HEARS,C91105,Clinical or Research Assessment Questionnaire,2,Adolescent and Young Adult Hearing Screen,A questionnaire designed to measure hearing loss or problems experienced by patients who have received treatment for cancer.
C102111,Abnormal Involuntary Movement Scale Clinical Classification,C118969,Clinical or Research Assessment Classification,2,AIMS|AIMS|AIMS01,"A standardized rating scale developed by William Guy in 1976 which is used to evaluate the severity of tardive dyskinesia in individuals taking neuroleptic agents. This instrument contains 5 sections with a total of 12 items pertaining to facial and oral movements, global judgments, trunk movements, dental status, and extremity movements. Each item is rated on either a 0 to 4 scale with 0 being none and 4 being severe, or as 'yes' or 'no.'"
C206402,Access to Health Services Questionnaire,C91105,Clinical or Research Assessment Questionnaire,2,Access to Health Services Protocol,"An interviewer-administered questionnaire with 10 questions designed to capture when medical care was last sought, usual place of care, frequency of getting medical care and reasons for not getting medical care."
C213812,Accidental Bowel Leakage Evaluation,C21154,Symptom Specific Assessment Tool,2,ABLe|Accidental Bowel Leakage (ABLe) Questionnaire|Accidental Bowel Leakage Evaluation Questionnaire|Accidental Bowel Leakage Questionnaire,A patient-reported measure designed to assess the severity and impact of fecal incontinence symptoms in women.
C165715,Achenbach System of Empirically Based Assessment Adult Behavior Checklist,C165713,Achenbach System of Empirically Based Assessment-Adult Self-Report and Adult Behavior Checklist,2,ASEBA-ABCL|Achenbach System of Empirically Based Assessment (ASEBA) Adult Behavior Checklist (ABCL),"A parallel form used to obtain information about the individual being assessed from others who know the individual well, such as a spouse, partner, family member, or friend."
C165714,Achenbach System of Empirically Based Assessment Adult Self Report,C165713,Achenbach System of Empirically Based Assessment-Adult Self-Report and Adult Behavior Checklist,2,ASEBA-ASR|Achenbach System of Empirically Based Assessment (ASEBA) Adult Self Report (ASR),A self-administered instrument that examines diverse aspects of adaptive functioning and problems.
C179183,Action Research Arm Test,C222260,Clinical or Research Functional Assessment Tool,2,ARAT,"An evaluative measure to assess upper arm function. It includes 19 tasks in 4 subgroups: grasp, grip, pinch, and gross movement, assessing an individual's ability to handle objects differing in size, weight and shape."
C78653,Activities Scale for Kids,C217121,Clinical or Research Assessment Scale,2,ASK|Activity Scale for Kids,"A generic self-report tool developed to measure, describe, and evaluate changes in the level of daily life activities and performance in children aged 5-15 years. (Copyright Dr. Nancy L. Young)"
C110947,Activities of Daily Living Dimension of Functioning Questionnaire,C91105,Clinical or Research Assessment Questionnaire,2,Activities of Daily Living Dimension of Functioning|Activities of Daily Living Questionnaire,A section of the Older Americans Resource Scale Multidimensional Functional Assessment Questionnaire (OMFAQ) that seeks information on a person's level of functioning on daily activities of living.
C121298,Activities of Daily Living Scale,C217121,Clinical or Research Assessment Scale,2,Activities of Daily Living,A rating scale included in the Behavior Assessment System for Children that measures the subject's ability to follow through or complete simple daily tasks.
C187516,Activities-Specific Balance Confidence Scale Questionnaire,C91105,Clinical or Research Assessment Questionnaire,2,ABC|ABC|ABC01,"A standardized 16-item self-report questionnaire, published by Powell et al. in 1995, that utilizes a 100 point rating scale to assess balance confidence in performing various activities without losing balance or experiencing a sense of unsteadiness."
C129985,Activity Card Sort,C222260,Clinical or Research Functional Assessment Tool,2,ACS|Activity Card Sort (ACS),An assessment tool developed to measure levels of activity engagement in older adults. Participants sort cards depicting people engaged in various activities into categories representing whether the activity is part of the individual's routine.
C121005,Acute Physiology and Chronic Health Evaluation II Clinical Classification,C118969,Clinical or Research Assessment Classification,2,APACHE II|APACHE II|APCH1,"A standardized rating scale developed by Knaus et al in 1985, which is a classification system used to measure severity of disease. This instrument uses a point score system based on physiological measurements, age and previous health status."
C121295,Adaptability Scale,C217121,Clinical or Research Assessment Scale,2,Adaptability,A rating scale included in the Behavior Assessment System for Children that measures the ability of the subject to adapt readily to changes in the environment.
C121302,Adaptive Skills Composite Score,C217122,Clinical or Research Assessment Score,2,Adaptive Skills Composite,"A composite score of the Behavior Assessment System for Children that combines the adaptability, social skills, leadership, study skills, and functional communication scales. This composite score summarizes prosocial, organizational, study, and other adaptive skills."
C225100,Addiction Research Center Inventory 49 Check-list,C91105,Clinical or Research Assessment Questionnaire,2,ARCI-49 1971|ARCI-49 Check-list|ARCI01,"A standardized, self-report 49-item questionnaire, published in 1971 by Martin et al., that utilizes a true-false response scale to the subjective effects of psychoactive drugs."
C154571,Adherence Starts With Knowledge 12 Questionnaire,C91105,Clinical or Research Assessment Questionnaire,2,ASK-12,A 12 question patient-report measure designed to identify factors that influence medication adherence and adherence-related behavior. It was derived from the ASK-20 questionnaire.
C185374,Adherence to Refills and Medications Scale,C217121,Clinical or Research Assessment Scale,2,ARMS|Adherence to Refills and Medications Scale (ARMS),"A 12-item measure used to determine a respondent's adherence to taking a prescribed medication. It has two subscales: an 8-item subscale assessing a respondent's ability to correctly administer a prescribed medication regimen, and a 4-item subscale assessing a respondent's ability to refill prescriptions on schedule."
C123340,Adult Hope Scale,C217121,Clinical or Research Assessment Scale,2,AHS|Adult Hope Scale (AHS),A 12-item measure of a respondent's level of hope. Each item is answered using an 8-point Likert-type scale ranging from Definitely False to Definitely True.
C121292,Aggression Scale,C217121,Clinical or Research Assessment Scale,2,Aggression,"A rating scale included in the Behavior Assessment System for Children that measures the tendency of the subject to act in a hostile manner, either verbally or physically, that is threatening to others."
C160857,Aging Voice Index,C91105,Clinical or Research Assessment Questionnaire,2,AVI|Aging Voice Index (AVI),"A questionnaire specifically designed for aging adults with voice disorders. It consists of a 23-item, self-administered questionnaire that asks individuals about the effects of their voice on their lives."
C148623,Agreement Rating Scale,C217121,Clinical or Research Assessment Scale,2,6 Point Agreement Scale,A subjective scale for the scoring of agreement that ranges from 1: Strongly Disagree to 6: Strongly Agree.
C221355,Agreement Rating Scale Score,C217122,Clinical or Research Assessment Score,2,,A score derived from an assessment using an agreement rating scale.
C212904,Agreement Score Scale,C217121,Clinical or Research Assessment Scale,2,,A scale for the subjective scoring of agreement that ranges from 0: Not at All to 4: Very Much.
C112518,Airway Questionnaire 20,C91105,Clinical or Research Assessment Questionnaire,2,AQ01|AQ20|AQ20,"A standardized rating scale developed by Barley et al in 1988 to measure health status and detect changes in quality of life in asthmatic patients. The questionnaire contains 20 questions and each can be answered with Yes, No, or N/A (Not Applicable)."
C165708,Alabama Parenting Questionnaire,C91105,Clinical or Research Assessment Questionnaire,2,APQ|Alabama Parenting Questionnaire (APQ),"A 42-item questionnaire that measures five dimensions of parenting: 1) positive involvement with children, 2) supervision and monitoring, 3) use of positive discipline techniques, 4) consistency in the use of such discipline, and 5) use of corporal punishment."
C121285,Alcohol Abuse Scale,C217121,Clinical or Research Assessment Scale,2,Alcohol Abuse,"A rating scale included in the Behavior Assessment System for Children, College Version, that identifies subjects who engage in drinking behaviors that have the potential to lead to alcohol abuse and those who experience academic, social, or functional problems due to their alcohol consumption."
C119098,Alcohol Use Disorder Identification Test Alcohol Consumption Questions Questionnaire,C91105,Clinical or Research Assessment Questionnaire,2,ADTC01|AUDIT-C|AUDIT-C,"A standardized rating scale developed by the World Health Organization (WHO), which is a modified version of the original Alcohol Use Disorder Identification Test (ADUIT). The questionnaire contains 3 questions, and is used to identify patients who are hazardous drinkers or have active alcohol use disorders."
C119097,Alcohol Use Disorder Identification Test Self-Report Version Questionnaire,C91105,Clinical or Research Assessment Questionnaire,2,ADT01|AUDIT|AUDIT-SR,"A standardized rating scale developed by the World Health Organization (WHO) to screen for excessive, hazardous or harmful alcohol consumption. The questionnaire contains 10 questions and evaluates the frequency and amount of alcohol use, alcohol-dependence symptoms and alcohol-related problems."
C225101,Alcohol Use Disorders Identification Test-Concise Interview Version Questionnaire,C91105,Clinical or Research Assessment Questionnaire,2,ADTC03|AUDIT-C Interview Version|MODIFIED AUDIT-C FROM WHO AUDIT: INTERVIEW VERSION 2001,The interview version of a standardized questionnaire developed by the World Health Organization (WHO) in 2001 as a modification to the original Alcohol Use Disorder Identification Test (AUDIT). It contains three questions and utilizes a five-point response scale to screen for hazardous drinking.
C225102,Alcohol Use Disorders Identification Test-Concise Self-Report Version Questionnaire,C91105,Clinical or Research Assessment Questionnaire,2,ADTC02|AUDIT-C Self-Report Version|MODIFIED AUDIT-C FROM WHO AUDIT: SELF-REPORT VERSION 2001,The self-report version of a standardized questionnaire developed by the World Health Organization (WHO) in 2001 as a modification to the original Alcohol Use Disorder Identification Test (AUDIT). It contains three questions and utilizes a five-point response scale to screen for hazardous drinking.
C161656,Alert Verbal Painful Unresponsive Scale Clinical Classification,C118969,Clinical or Research Assessment Classification,2,AVPU|AVPU|AVPU01,"A standardized assessment algorithm published by the American College of Surgeons Committee on Trauma in the Advanced Trauma Life Support protocol in 1989 that uses the criterion of ""alert"", ""responsive to verbal stimulation"", ""responsive to painful stimulation"", or ""unresponsive"" to determine a patient's level of consciousness."
C223901,Alternative Disability Index,C217122,Clinical or Research Assessment Score,2,Alternative Disability Index (HAQ-DI),"The score resulting from an assessment of the disabilities of an individual while using aids and devices, using the Health Assessment Questionnaire Disability Index (HAQ-DI)."
C100762,Alzheimer's Disease Assessment Scale-Cognitive CDISC Version Functional Test,C222259,Cognitive Assessment Tool,2,ADAS-COG|ADC,"The CDISC version of the Alzheimer's Disease Assessment Scale-Cognitive (CDISC ADAS-Cog) containing 15 summary-level tests. This version is based on combining the total pool of ADAS-Cog tests that were observed during a review of multiple case report forms administered in clinical trials of Alzheimer's disease, as well as the CRF administered in the Alzheimer's Disease Neuroimaging Initiative (ADNI) observational study.  (Modified from Mohs RC, Rosen WG, Davis KL. The Alzheimer's disease assessment scale: an instrument for assessing treatment efficacy. Psychopharmacol Bull 1983;19(3):448-450. Rosen WG, Mohs RC, Davis KL. A new rating scale for Alzheimer's disease. Am J Psychiatry 1984;141(11):1356-1364. Mohs RC, Knopman D, Petersen RC et al. Development of cognitive instruments for use in clinical trials of antidementia drugs: additions to the Alzheimer's Disease Assessment Scale that broaden its scope. The Alzheimer's Disease Cooperative Study. Alzheimer Dis Assoc Disord 1997;11 Suppl 2:S13-S21. Wouters H, van Gool WA, Schmand B, Lindeboom R. Revising the ADAS-cog for a more accurate assessment of cognitive impairment. Alzheimer Dis Assoc Disord 2008;22(3):236-244.)."
C214447,Alzheimer's Disease Assessment Scale-Cognitive Date 30th June 2015 Version Functional Test,C222259,Cognitive Assessment Tool,2,ADAS-COG 30JUN2015|ADAS-COG Date 30th June 2015 Version|ADC1,"The June 30, 2015 version of a standardized 11-task assessment tool, originally published by Mohs et al. in 1983, that assesses cognitive functions that are typically impaired in Alzheimer's disease in the domains of memory, language, and praxis."
