ncit_code,preferred_term,codelist_testcd,question_count,mapped_structurally,synonyms,definition,display_name,semantic_type,UMLS_CUI,NCIm_CUI,codelist_membership
C129103,FOSI Questionnaire Question,FAC049TC,8,True,,A question associated with the FOSI questionnaire.,,Intellectual Product,,CL512488,
C100115,FPSR Questionnaire Question,FPSR1TC,1,True,,A question associated with the FPSR questionnaire.,,Intellectual Product,C3639105,,
C113865,FSS Questionnaire Question,FSS01TC,9,True,,A question associated with the FSS questionnaire.,,Intellectual Product,C3830066,,
C208398,Fagerstrom Test for Cigarette Dependence Questionnaire Question,FTCD01TC,8,True,,A question associated with the Fagerstrom Test for Cigarette Dependence questionnaire.,,Intellectual Product,,CL1935179,
C193280,Falls Efficacy Scale Questionnaire Question,FES01TC,11,True,,A question associated with the Falls Efficacy Scale questionnaire.,,Intellectual Product,,CL1913239,
C208397,Functional Assessment of Cancer Therapy/Gynecologic Oncology Group-Neurotoxicity Subscale Version 4 Questionnaire Question,FAC102TC,11,True,,A question associated with the Functional Assessment of Cancer Therapy/Gynecologic Oncology Group-Neurotoxicity Subscale Version 4 questionnaire.,,Intellectual Product,,CL1935178,
C199504,Functional Assessment of Chronic Illness Therapy-Item GP5 Version 4 Questionnaire Question,FAC101TC,1,True,,A question associated with the Functional Assessment of Chronic Illness Therapy-Item GP5 Version 4 questionnaire.,,Intellectual Product,,CL1906869,
C200916,Functional Assessment of Chronic Illness Therapy-Searchable Item Library Pediatric Version Questionnaire Question,FSLPTC,131,True,,A question associated with the Functional Assessment of Chronic Illness Therapy-Searchable Item Library Pediatric Version questionnaire.,,Intellectual Product,,CL1915173,
C103494,GAD-7 Questionnaire Question,GAD01TC,9,True,,A question associated with the GAD-7 questionnaire.,,Intellectual Product,C3641309,,
C163400,GAD-7 Version 2 Questionnaire Question,GAD02TC,9,True,,A question associated with the GAD-7 Version 2 questionnaire.,,Intellectual Product,,CL976670,
C105145,GCGI Questionnaire Question,GCGI01TC,5,True,,A question associated with the GCGI version 1 questionnaire.,,Intellectual Product,C3641941,,
C124696,GCS NINDS Version 1.0 Clinical Classification Question,GCS01TC,12,True,,A question associated with the GCS NINDS Version 1.0 clinical classification.,,Intellectual Product,C4086349,,
