COSMoS_BC_ID,DS_Code,column,old,new
C25365,,Categories,Clinical Trial Attribute; Trial Summary,Clinical Trial Attribute; Respiratory System Findings; Trial Summary
C25391,,BC_Synonyms,Analytical;Analyzed,Analyze;Analytical;Analyzed
C25391,,Categories,Analysis,Analysis; ECG Findings; ECG Interpretation; Electrocardiogram Findings; Electrocardiogram Interpretation; Respiratory System Findings
C25447,,Hierarchy_Path,Fat Mass,
C25447,,Parent_Label,Fat Mass,
C28554,DEAD,BC_Name,Dead,Dead [RETIRED]
C28554,DEAD,BC_Definition,The cessation of life.,The cessation of life. [RETIRED]
C28554,DEAD,BC_Synonyms,Expired;Death;Died,
C28554,DEAD,Categories,Protocol Disposition Events; Subject Disposition,Subject Disposition
C28554,DEAD,DS_Name,Dead,Dead [RETIRED]
C28554,DEAD,Result_Scale,Nominal,
C28554,DEAD,Decimal_Places,5.0,
C35571,PROGDISEASE,BC_Name,Progressive Disease,Progressive Disease [RETIRED]
