COSMoS_BC_ID,NCIt_Code,BC_Name,BC_Definition,BC_Synonyms,BC_Type,BC_Scope,TESTCD,TEST,TESTCD_NCIt,Categories,Hierarchy_Path,Parent_Label,Row_Type,Domains_with_DS,DS_Code,DS_Name,Domain,Domain_Class,Result_Scale,Specimen,Specimen_NCIt,Method,Method_NCIt,LOINC_Code_Count,LOINC_Code,Allowed_Units,Standard_Unit,COSMoS_Category,COSMoS_Subcategory,Decimal_Places,location,laterality,evaluator
C161312,C161312,Evidence of Malignant Disease Description,A description of the basis for the determination that a malignancy is present.,MALEVDES;Malignancy Evidence Description,full,Subject,MALEVDES,Malignancy Evidence Description,C161312,Respiratory System Findings,Description,Description,DSS,RE,MALEVDES_RE,Malignancy Evidence Description (RE),RE,Findings,Qualitative,,,,,0.0,,,,,,2.0,,,
C85534,C85534,Excretion Rate,The speed relative to time that an exogenous compound is removed from a body system.,,hierarchy_only,Subject,,,,Biological Clearance Rates; Clearance Rates; Excreation Rates; Laboratory Tests,,,BC_only_hierarchy,,,,,,,,,,,,,,,,,,,,
C120931,C120931,Expiration Relaxation Time,The amount of time required to reach a specific tidal volume as measured from the start of exhalation.,EXPRELTM,full,Subject,EXPRELTM,Expiration Relaxation Time,C120931,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,EXPRELTM_RE,Expiration Relaxation Time (RE),RE,Findings,Quantitative,,,,,0.0,,ms,ms,,,3.0,,,
C111200,C111200,Expiratory Reserve Volume,The maximum volume of air a subject can exhale from the lungs after a tidal exhalation.,ERV,full,Subject,ERV,Expiratory Reserve Volume,C111200,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,ERV_RE,Expiratory Reserve Volume (RE),RE,Findings,Quantitative,,,,,0.0,,mL; L,,,,3.0,,,
C120932,C120932,Expiratory Time,The recorded time interval between the initiation of exhalation and the time at which no further lung volume reduction occurs.,Expiration Time;EXPTIME,hierarchy_only,Subject,,,,Respiratory System Findings,,,BC_only_hierarchy,,,,,,,,,,,,,,,,,,,,
C147484,C147484,Expiratory Vital Capacity,The maximum volume of air an individual can exhale from the point of maximal inhalation.,EVC,full,Subject,EVC,Expiratory Vital Capacity,C147484,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,EVC_RE,Expiratory Vital Capacity (RE),RE,Findings,Quantitative,,,,,0.0,,L; mL,,,,3.0,,,
C191364,C191364,Extracellular Water Measurement,A measurement of the quantity of water in the extracellular compartments within the body.,ECW;Extracellular Body Water;Extracellular Water,full,Subject,ECW,Extracellular Water,C191364,Body Water Measurement; Vital Signs,Chemistry Test,Chemistry Test,DSS,VS,ECW,Extracellular Water,VS,Findings,Quantitative,,,,,0.0,,dL; L,,,,3.0,,,
C191363,C191363,Extracellular Water to Total Body Water Ratio Measurement,The determination of the ratio of extracellular water to total body water present in a sample. The measurement may be expressed as a ratio or percentage.,ECW/TBW;ECWTBW;Extracellular Water/Total Body Water,full,Subject,ECWTBW,Extracellular Water/Total Body Water,C191363,Body Water Measurement; Vital Signs,Chemistry Test,Chemistry Test,DSS,VS,ECWTBW,Extracellular Water/Total Body Water,VS,Findings,Quantitative,,,,,0.0,,%; RATIO,,,,3.0,,,
C124479,C124479,Fetal Body Weight,An estimate or direct measurement of the heaviness of a fetus.,BWFETAL,hierarchy_only,Subject,,,,Body Measurements; Fetal Body Measurements; Vital Signs,Weight > Body Weight,Body Weight,BC_only_hierarchy,,,,,,,,,,,,,,,,,,,,
C174372,C174372,Fetal Estimated Weight,An approximate determination of the weight of the fetus.,FTEWT,full,Subject,FTEWT,Fetal Estimated Weight,C174372,Body Measurements; Fetal Body Measurements; Vital Signs,Weight > Body Weight > Fetal Body Weight,Fetal Body Weight,DSS,VS,FTEWT,Fetal Estimated Weight,VS,Findings,Quantitative,,,,,0.0,,g; kg; LB; oz,,,,3.0,,,
